🎦程响MV,#genre#
一生相伴 - “网红歌手”脸都不要了？原唱免费听的歌，他们翻唱后还要收费？,https://cfss.cc/api/kg/04FFA3B6EEEFDA25D01C11E1D9A2776B.mp4
谷影蛮儿 - 假唱团太猖狂！碰瓷时代少年团还倒打一耙，粉丝：跳梁小丑而已,https://cfss.cc/api/kg/F9BC36A327B9FCEDBE7DF2A0548DF1EB.mp4
旺仔小乔 - 2022热歌串烧 - 现场版,https://cfss.cc/api/kg/A505738AB1C44DB2E268479A205D9CC3.mp4
旺仔小乔 - 爱丫爱丫 - 伴奏版,https://cfss.cc/api/kg/93B1CCA1E875B5D68A6A0A06A5649FAC.mp4
卡其鱼 - 五位刚刚爆火又立马翻车的网红们 网友：为了红真是不择手段！,https://cfss.cc/api/kg/13E8EDAE4F2F0EAAAD2D4BBB2264E066.mp4
吕蒙 - 假唱团队赖上时代少年团，连女演员都忍不住要笑场，网友：信你个鬼,https://cfss.cc/api/kg/3ECCAD7616E3DA8572411C9D8033C12A.mp4
残花凋零 - 靠假唱火起来的网红徐倩倩在全网黑后真唱，你们觉得唱功如何？,https://cfss.cc/api/kg/A096F825460164841E8EBA9186AFEBEA.mp4
旺仔小乔 - 爱如火 - 歌词版,https://cfss.cc/api/kg/223C909133C303374AD49E51571A6D93.mp4
旺仔小乔 - 我要的 - 片段)(现场版,https://cfss.cc/api/kg/513F386A2D8D075B7BC267D3662C1771.mp4

🎦邓寓君MV,#genre#
尚雯婕、张碧晨、张栋梁、郑云龙、陈卓璇、程响、迟里乌布、邓典、邓见超、窦佳嫄、邓寓君(等什么君)、房东的猫、黑屋乐队、黄礼格、鞠起、枯木逢春、JelloRio李佳隆、刘至佳、龙猛寺宽度、梦然、沙一汀EL、宋宇宁、田鸿杰、万妮达Vinida Weng、王赫野、吴映香Lúcia、希林娜依高、杨默依、姚琛、step.jad依加、早安、赵紫骅、郑闯、Nene郑乃馨 - 微光 - 2023美好中国新歌会,https://cfss.cc/api/kg/825F682F2D818A03B7399F7EC4CCC494.mp4
邓寓君(等什么君) - 难渡 - 2021腾讯音乐由你榜城市热LIVE上海站,https://cfss.cc/api/kg/3473CD39F2C79A011305FD311D1E1377.mp4
爱豆圈 - 邓寓君(等什么君)、FOX胡天渝《凌波微步》饭制版,https://cfss.cc/api/kg/0F437664352117EF372F0ACDB1506091.mp4
邓寓君(等什么君) - 慕夏 - 现场版,https://cfss.cc/api/kg/37D23B7FE191122D221925481E8A24BE.mp4
邓寓君(等什么君)、酷狗首唱会 - 等什么君与楼炅择跨圈合作国风女团舞 - 酷狗首唱会年度表彰,https://cfss.cc/api/kg/563882933FB5859CA5D14CF3D962F1CA.mp4
邓寓君(等什么君)、我是大东家 - 我是大东家 - 《我是大东家》手游同名主题曲,https://cfss.cc/api/kg/A16E8D56F26AA7BFDCB39080B40FB607.mp4
豆豆果 - 邓寓君(等什么君)《芳华慢 + 霜雪千年》片段,https://cfss.cc/api/kg/C5997E65E5425A20B3F4C0FD9F2ECC2B.mp4
邓寓君(等什么君) - 囍 - 现场版,https://cfss.cc/api/kg/0E4BE17D42AE53D79888340A2109569B.mp4
邓寓君(等什么君)、流淌的歌声 - 天下 - 流淌的歌声第三季 第4期,https://cfss.cc/api/kg/29EAAF54349B0CF731498EAAFBC5AA2E.mp4
邓寓君(等什么君)、酷狗首唱会 - 关山酒 - 邓寓君(等什么君)酷狗首唱会现场版,https://cfss.cc/api/kg/DA55DE8987108A910CCA12C4C7E6CC9E.mp4

🎦张韶涵MV,#genre#
张韶涵、周深、天赐的声音 - 一路生花 - 天赐的声音第三季 第12期,https://cfss.cc/api/kg/E720346DC6062F784F537C1B2FDC552F.mp4
胡彦斌、胡海泉、张韶涵、周深、GAI周延、陈意涵Estelle、吉克隽逸、唐艺、王赫野、康姆士乐团、信 - 篇章 - 《天赐的声音第三季》主题曲,https://cfss.cc/api/kg/EA80C2B2AC8DA7D5CDDD82591E896DA3.mp4
张韶涵 - 破茧 - 《斗罗大陆》动画2020年新主题曲,https://cfss.cc/api/kg/B216B6A9DF87224C7E842117091C8971.mp4
张韶涵、王晰、天赐的声音 - 黎明前的黑暗 - 天赐的声音 第2期,https://cfss.cc/api/kg/1E5AFA802628DE9183A7BEDC5E6AE615.mp4
张韶涵、刘惜君、天赐的声音 - 如愿 - 天赐的声音第三季 第10期,https://cfss.cc/api/kg/C313378090F1D82481C12B47CDB225B4.mp4
阿冗、阿悠悠、程响、海来阿木、海伦、梦然、魏新雨、要不要买菜、G.E.M.邓紫棋、李荣浩、林俊杰、薛之谦、张韶涵、周杰伦、司南、八三夭乐团、蔡徐坤、李宇春、TME live - 第二届TMEA腾讯音乐娱乐盛典-十大热歌、十大金曲 - 第二届TMEA腾讯音乐娱乐盛典,https://cfss.cc/api/kg/67920AB8EB68E929FA1A2DB7AC58FB4F.mp4
张韶涵、王赫野、天赐的声音 - 篇章 - 天赐的声音第三季 第9期,https://cfss.cc/api/kg/B23388F158E233D53DD8344BABA07E12.mp4
张韶涵、肖战、中国梦之声·我们的歌 - Faded - 中国梦之声·我们的歌 第9期,https://cfss.cc/api/kg/2B7371D360375FDF0F838DCAF9244CDA.mp4
稻香 - 《歌手》十一大“封神”现场！堪称华语教科书级别，各个都能直击灵魂！,https://cfss.cc/api/kg/7E1B09992A725DD141E7FC0429EC1E0E.mp4
况佑铭 - 爆火课间操《快乐崇拜》居然这么燃脂！潘玮柏♥张韶涵金曲｜有氧｜燃脂｜健身操完整版【紫嘉儿】,https://cfss.cc/api/kg/1F308C96262585E857E48ABD875F822E.mp4

🎦陈慧娴MV,#genre#
陈慧娴、张学友 - 轻抚你的脸 - 2014 back to priscilla 30周年演唱会,https://cfss.cc/api/kg/D719E0041B682EB4B86593875D60EF84.mp4
陈慧娴 - 千千阙歌 - 1989几时再见告别演唱会版本,https://cfss.cc/api/kg/75BEA153FDD1F15F066E010D21706B33.mp4
陈慧娴、周传雄、杨坤、萧敬腾、张淇、安又琪、陆虎、孟慧圆、马嘉祺、林志炫、詹雯婷、大张伟、杨丞琳、张远、许靖韵、黄霄雲、焦迈奇、邓见超 - 光阴的故事 - 2022中国梦之声·我们的歌第四季 第3期,https://cfss.cc/api/kg/4A0E60190440FBBE0FC96F36E0242197.mp4
陈慧娴 - 千千阙歌,https://cfss.cc/api/kg/8B88C072D5190FEEEDF41119E805129C.mp4
陈慧娴 - 千千阕歌 - KTV版,https://cfss.cc/api/kg/238C3CAF1DAA00E0EAC68D12E187D9A1.mp4
博生记 - 叶倩文演唱《潇洒走一回》，陈小春、谢天华伴舞，这画面太惊艳了,https://cfss.cc/api/kg/29EC1399760A442FB8105232E2F69D82.mp4
陈慧娴 - 人生何处不相逢,https://cfss.cc/api/kg/31DBC88C69ECFE71B9E83DE86A21C188.mp4
陈慧娴、隐藏的歌手 - 千千阕歌 - 隐藏的歌手第二季第四期现场,https://cfss.cc/api/kg/12119781E886AEC3CE85F80730309ED3.mp4
陈慧娴 - 情意结 - KTV版,https://cfss.cc/api/kg/2224328AC63FCC269CEB1FE34111D4A4.mp4
陈慧娴、杨坤、周传雄、张淇、萧敬腾、陆虎、孟慧圆、马嘉祺 - 龙的传人 - 2022中国梦之声·我们的歌第四季 第2期,https://cfss.cc/api/kg/359B7B1FCADBF05FD70616DA2E780A72.mp4

🎦孙露MV,#genre#
孙露 - 再度重相逢 - KTV版,https://cfss.cc/api/kg/91D348B1A0951892F4EA3E42044990B0.mp4
孙露 - 把悲伤留给自己 - KTV版,https://cfss.cc/api/kg/6E9FF971C7AFE02896B7D1892A5D9EBC.mp4
孙露 - 离别的车站,https://cfss.cc/api/kg/19786C17CDE0C627EE6A46E6945F7395.mp4
孙露 - 小小的太阳 - KTV版,https://cfss.cc/api/kg/01B2DA1CCF4508AE4DF5D40166A36BAC.mp4
孙露 - 下辈子也要找到你,https://cfss.cc/api/kg/E86FB6095B23D3F022B50EE0CC4AD872.mp4
孙露、杨波 - 光阴的故事 - KTV版,https://cfss.cc/api/kg/143F8080A9782E04AAFDE626A73868B0.mp4
孙露 - 车站 - 现场版,https://cfss.cc/api/kg/25252077D85F4DFDDE0D87495E7C79C9.mp4
孙露 - 黄玫瑰 - KTV版,https://cfss.cc/api/kg/47625B45A8DBBDE3E6C719F075ACE3BA.mp4
孙露 - 鬼迷心窍 - KTV版,https://cfss.cc/api/kg/55400871ED31B40065DFA2591F69DAF9.mp4
孙露 - 离别的车站 - KTV版,https://cfss.cc/api/kg/488C3CF7BE45ABE4801FCAE050CB558E.mp4

🎦王靖雯MV,#genre#
王靖雯 - 善变,https://cfss.cc/api/kg/487713AE473A514BCF406B4B95A4231E.mp4
品冠、张楚、张震岳、杨坤、杨丞琳、阿朵、尚雯婕、信、张亚东、萧敬腾、周晓鸥、李玉刚、吴莫愁、JA符龙飞、金润吉、刘逸云 Amber Liu、张碧晨、唐汉霄、焦迈奇、李润祺、梁龙、马伯骞、Lil Ghost小鬼、朱星杰、周洁琼、胡宇桐、王靖雯 - Forever Young - 《闪光的乐队》综艺主题曲,https://cfss.cc/api/kg/3D36C8994D80D3FDAC1BB6714595AD3F.mp4
唐汉霄、马伯骞、王靖雯 - 漠河舞厅 - 闪光的乐队 第2期,https://cfss.cc/api/kg/52E6996D86D40A0CE05C297BF883A86D.mp4
王靖雯、2021中国好声音 - 说说话 - 2021中国好声音 第12期,https://cfss.cc/api/kg/497322D23F2E75FC844AB6C8E2E4DFB3.mp4
王靖雯、2021中国好声音 - 忽而今夏 - 2021中国好声音 第一期,https://cfss.cc/api/kg/B9018BD6CE0573CD6DF788ABC9E8E178.mp4
王靖雯 - 沦陷,https://cfss.cc/api/kg/91257AEE19ECA429A26DF42F92B53F7C.mp4
齐德龙东强 - 1992年TVB十大劲歌金曲《容易受伤的女人》王菲Faye高清MV怀旧金曲KTV必点港乐精选王靖雯第四季季选高清修复超清画香港无线电视台《大时代》配乐KTV情歌,https://cfss.cc/api/kg/79DE3729630F56356F53C72D066B2ED1.mp4
王靖雯 - 再不见 - 《遇见你》电影主题曲,https://cfss.cc/api/kg/BBE668DCE03604DC6ED0B0FFBC4B05C3.mp4
公主菲菲 - 非主流三巨头中，看似最不火的徐良，转行当老板捧红了众多网红,https://cfss.cc/api/kg/AB85819412849A81C982E5CC2AFF8B07.mp4
王靖雯、唐汉霄、信、马伯骞、闪光的乐队 - 我知道是你 - 闪光的乐队 第8期,https://cfss.cc/api/kg/2381AD97C5FC472D347CCCCBF340A37F.mp4

🎦邓丽君MV,#genre#
邓丽君 - 我只在乎你,https://cfss.cc/api/kg/0FE9D20B5A8F0090595406934A5CA22D.mp4
邓丽君 - 漫步人生路 - KTV版,https://cfss.cc/api/kg/B4A54BB483A278660A9642F9DFBD83D2.mp4
我的 - 【周深邓丽君完整版】江苏卫视2022跨年演唱会跨越时空，引人泪目,https://cfss.cc/api/kg/65D3240DE4C7EAB1F34EB78E6491E005.mp4
邓丽君 - 甜蜜蜜 - KTV版,https://cfss.cc/api/kg/DF8F305EAF8F9103040A430A2DD4C782.mp4
邓丽君 - 月亮代表我的心,https://cfss.cc/api/kg/B9C261953A56F283272887D9381937FD.mp4
邓丽君 - 你怎么说,https://cfss.cc/api/kg/335D971F83FF29AC69C3DE32819CF836.mp4
邓丽君 - 北国之春 - KTV版,https://cfss.cc/api/kg/DA1979C8CD6E7B87F2FE089BFDDE1CB0.mp4
邓丽君 - 恰似你的温柔 - KTV版,https://cfss.cc/api/kg/940B1FC444578762E2944D522EAE6CFA.mp4
邓丽君 - 小城故事 - 现场版,https://cfss.cc/api/kg/D29523D9183276259BD673ED71FAC720.mp4
邓丽君 - 美酒加咖啡 - KTV版,https://cfss.cc/api/kg/09167DCB6E2889B6AF569236CFD6D022.mp4

🎦蔡健雅MV,#genre#
蔡健雅 - Letting Go,https://cfss.cc/api/kg/DB042C750CE3ED0D18387F85C5D51CF9.mp4
蔡健雅 - 红色高跟鞋 - 《爱情左右》电影主题曲,https://cfss.cc/api/kg/E0AE6858557B1D7B5F07E50DEDB8D113.mp4
鸭侠 - 苏运莹《野子》 - 《中国好歌曲第二季》第一期,https://cfss.cc/api/kg/5083E9442B579970F98A704917E318B3.mp4
蔡健雅 - 失语者,https://cfss.cc/api/kg/5D646FFDA3B2CA105F6BBE7403EC2FEA.mp4
天使简约 - 现场失控《中国好歌曲第二季》第三期 潘高峰《节奏 爱》 - 搜狐视频,https://cfss.cc/api/kg/342A345FCB9F9C5D6E30316D5C41D4CD.mp4
蔡健雅、中国新歌声 - 当我想你的时候 - 现场版,https://cfss.cc/api/kg/FBF3881482716E155F5D9370CC400803.mp4
为谁难伤 - 我们是否深爱过？蔡健雅《Letting Go》动情演绎爱的疑惑,https://cfss.cc/api/kg/AB6B7414302FE8BDC69E6895C796AA04.mp4
蔡健雅 - LETTING GO - 伴奏版,https://cfss.cc/api/kg/340186F54C2C43A9C52DD64CFA74FDC2.mp4
蔡健雅 - 达尔文,https://cfss.cc/api/kg/5FEA6FB01CD7502B68A13000B202E431.mp4
蔡健雅、HOYO-MiX - Nightglow - 《崩坏3》动画印象曲,https://cfss.cc/api/kg/E3F327295619AD87E40228FCA9D53C98.mp4

🎦梦然MV,#genre#
梦然 - 少年,https://cfss.cc/api/kg/4AAE3CE1CEEA09266E387E75FBB74460.mp4
阿冗、阿悠悠、程响、海来阿木、海伦、梦然、魏新雨、要不要买菜、G.E.M.邓紫棋、李荣浩、林俊杰、薛之谦、张韶涵、周杰伦、司南、八三夭乐团、蔡徐坤、李宇春、TME live - 第二届TMEA腾讯音乐娱乐盛典-十大热歌、十大金曲 - 第二届TMEA腾讯音乐娱乐盛典,https://cfss.cc/api/kg/67920AB8EB68E929FA1A2DB7AC58FB4F.mp4
梦然 - 没有你陪伴真的好孤单 - 现场版,https://cfss.cc/api/kg/D81E54E6D9761BC803ED2AD0E053576C.mp4
梦然 - 是你 - 2023海南省春节联欢晚会现场,https://cfss.cc/api/kg/B52BAF7A27F98FE9A734C38264AD4CF7.mp4
梦然 - 是你 - 2023最好的舞台现场,https://cfss.cc/api/kg/5571614717E95CD824B193E2F54517F6.mp4
梦然 - 没有你陪伴真的好孤单,https://cfss.cc/api/kg/99DC9E82D2991018335982325850596E.mp4
梦然 - 没有你陪伴真的好孤单,https://cfss.cc/api/kg/CC2A2696593A9C13FDA5CD84A2BB7BC2.mp4
梦然 - 飞鸟与射手,https://cfss.cc/api/kg/A00045A98214FDE2A1FEF35CB95C2074.mp4
张靓颖、刘惜君、陈思思、许嵩、胡夏、梦然、王笠人、王琪、冯提莫、刘雨昕、路滨琪、一棵小葱、BOY STORY、王心妤、义掌柜、华语群星、TME live - TME live特别现场 百年风华 不忘初心——庆祝中国共产党成立100周年青春歌会 - 全场回顾,https://cfss.cc/api/kg/487EDA8E701D968717830F145F99757A.mp4
梦然 - 爱到尽头也无悔,https://cfss.cc/api/kg/EFA5EC82A4EC306AE9673698B212174D.mp4

🎦庄心妍MV,#genre#
庄心妍 - 再见只是陌生人,https://cfss.cc/api/kg/D60C0372F9BF5CCCAC40C935D3D57871.mp4
庄心妍 - 以后的以后,https://cfss.cc/api/kg/16F5444DF54FC8D0D90A40C5924CC800.mp4
庄心妍 - 放过自己,https://cfss.cc/api/kg/DE8EEB6B69C8DE4CB6C5CCC89D70843B.mp4
庄心妍 - 走着走着就散了 - KTV版,https://cfss.cc/api/kg/72F93A7CC101BB4FE519B54DAEA9A556.mp4
庄心妍 - 为情所伤,https://cfss.cc/api/kg/13972F03A9B3E93E01BB521BF7FD5950.mp4
庄心妍、祁隆 - 一万个舍不得,https://cfss.cc/api/kg/0888DCFAA66E0EBD04CD0D2EE03DF7FE.mp4
庄心妍 - 以后的以后 - KTV版,https://cfss.cc/api/kg/357CBC43984B6EA5428F95BEDF085D43.mp4
庄心妍 - 爱囚,https://cfss.cc/api/kg/F0AFE76ED0CAAB9143BDE8D61CC0F743.mp4
庄心妍 - 真的不容易 - KTV版,https://cfss.cc/api/kg/4987F5ADD9FEC48915FFF981E116F21F.mp4
庄心妍 - 两个人的回忆一个人过,https://cfss.cc/api/kg/6E37FBD7C11A045C67E63D088E42695D.mp4

🎦王心凌MV,#genre#
王心凌 - 爱你,https://cfss.cc/api/kg/7B7A9C88F12C3B0C73461BBD0D84B3E3.mp4
王心凌、伍佰 - 我会好好的 + 你是我的花朵 - 现场版,https://cfss.cc/api/kg/2515A9FAABFC59150D8B98A7E4FE7B04.mp4
王心凌 - 第一次爱的人 - 王心凌Cyndi 「 私·心」 音乐分享会,https://cfss.cc/api/kg/6D0D0E30D0A084CFA58BA0E9BBCC54A5.mp4
水般的女子 - 星星点灯 来点灯～,https://cfss.cc/api/kg/023571BCA765B658A77C8195D4B06632.mp4
王心凌 - 爱你 - 2023我想和你唱 第四季 第1期,https://cfss.cc/api/kg/F06E206DA279251DF71A7C0A12562F7E.mp4
王心凌 - 我会好好的,https://cfss.cc/api/kg/40E1BA80DEE744ABC1223490A347F6D2.mp4
林正标 - 孤独颂歌【王心凌张天爱蔡卓妍钟欣潼吴谨言】,https://cfss.cc/api/kg/B25B4177CBECB152547EC0837BB26FCB.mp4
天圣之水 - 当年“血洗”劲舞团的背景音乐，满满的回忆，没想到一晃十多年了！,https://cfss.cc/api/kg/464487E32E36D4270AC8103426DA8D2C.mp4
伍佰、王心凌 - 你是我的花朵 - 现场版,https://cfss.cc/api/kg/25C72C136823EBA57CC3FB690679021C.mp4
王心凌 - 爱你 - 2021 CYNDILOVES2SING 爱‧心凌演唱会 台北场,https://cfss.cc/api/kg/B57F2BF46B55369C8EDDFD41035B2F3B.mp4

🎦温奕心MV,#genre#
温奕心、繁星互娱 - 一路生花,https://cfss.cc/api/kg/C636D28344E5F1B26CC2FFCF94CE462C.mp4
温奕心 - 一路生花 - 温奕心现在国风现场版,https://cfss.cc/api/kg/0474F240B8272E1B869DC1CDF3424BCB.mp4
于朦胧、马佳、陈都灵、温奕心、张可盈、周义晨 - 一路生花 - “百花迎春”——中国文学艺术界2023春节大联欢现场,https://cfss.cc/api/kg/52BCDE5EC17DA4BA7749585240543E4F.mp4
温奕心 - 一路生花 - 温奕心酷狗首唱会现场版,https://cfss.cc/api/kg/01A00D22194627E1D0E440AB69E019EC.mp4
爱豆圈 - 2022年6首破亿神曲，你都听过吗？,https://cfss.cc/api/kg/8006A73A39E37D195CF958032D658D0A.mp4
温奕心 - 一路生花 - 伴奏版,https://cfss.cc/api/kg/1375B4E022C842E53617A05E66E2008A.mp4
温奕心、酷狗首唱会 - 一路生花 - 温奕心酷狗首唱会现场版,https://cfss.cc/api/kg/FEC8222C206366860A4BE55F85456CC0.mp4
温奕心 - 穿衬衫的云朵 (KTV版),https://cfss.cc/api/kg/1A1BE074362B8F7197AB4FB3EB6A6ABB.mp4
风的样子 - 用《一路生花》打开《老闺蜜》我希望许过的愿望一路生花,https://cfss.cc/api/kg/88827610776990B0B68D3815F0F7CD0B.mp4
温奕心、田一名、郑鱼 - 一路生花 - 2021TMLC腾讯音乐直播盛典现场版,https://cfss.cc/api/kg/BED6CC58A4DD315FD539E2362721A01F.mp4

🎦容祖儿MV,#genre#
容祖儿 - 就让这大雨全都落下,https://cfss.cc/api/kg/0480CB979AECE5A6D6751841928C81A6.mp4
梦里乾坤 - 别骂了别骂了，《联名》这不就来了,https://cfss.cc/api/kg/0D5F0FD05E4202FE2D5F4D07AA8D31F8.mp4
容祖儿、刘德华 - 谢谢你的爱 + 一起走过的日子 - 容祖儿2019演唱会,https://cfss.cc/api/kg/6745AF1054E5BF020E01F24D39568552.mp4
容祖儿、希林娜依高、中国梦之声·我们的歌 - 小小 - 中国梦之声·我们的歌第二季 第2期,https://cfss.cc/api/kg/CA71600C475DCA32D509CF93578039BD.mp4
容祖儿 - 小小,https://cfss.cc/api/kg/BD7AF2346F21FD32D40BC10EA22EE84B.mp4
容祖儿 - 1314容祖儿演唱会1 - 演唱会,https://cfss.cc/api/kg/06E9B240733E440CE1462B8304AE8A2B.mp4
暖唲 - 徐小凤演唱会2016-7-30 徐小凤、容祖儿合唱 《顺流逆流》,https://cfss.cc/api/kg/BE46350EE29A233A612DA8D675A975FA.mp4
濛濛 - 【容祖儿】JOEY YUNG  偏偏喜欢你+一起走过的日子+我的骄傲+上海滩 live【流淌的歌声第二季】 2020-09-04,https://cfss.cc/api/kg/929DB7760B932A075815FB29A3CC7617.mp4
容祖儿 - 心淡,https://cfss.cc/api/kg/EBAFA6A9B9D687FCD6E8463F16B8BEF8.mp4
容祖儿、希林娜依高、中国梦之声·我们的歌 - 母系社会 - 中国梦之声·我们的歌第二季 第2期,https://cfss.cc/api/kg/33A33AA18CC5545CEEA4D386E892C663.mp4

🎦莫文蔚MV,#genre#
莫文蔚 - 这世界那么多人 - 《我要我们在一起》电影主题曲,https://cfss.cc/api/kg/5463FB7E53CD8633FF763153C6244CFD.mp4
莫文蔚 - 这世界那么多人 - 2021中央广播电视总台中秋晚会,https://cfss.cc/api/kg/2C4F5F6385F9C86EE04E38994BF98B0F.mp4
卢冠廷、莫文蔚 - 一生所爱 - 影视版,https://cfss.cc/api/kg/916EE57719039A8BE64018C77710B0C7.mp4
莫文蔚 - 慢慢喜欢你,https://cfss.cc/api/kg/3BB594D25D417BE1AB9469C7C86B3084.mp4
卢冠廷、莫文蔚 - 一生所爱 - 《大话西游》电影主题曲,https://cfss.cc/api/kg/F3088752DC2576EB8863DE04D61C0EE2.mp4
张洪量、莫文蔚 - 广岛之恋,https://cfss.cc/api/kg/CE4510BD9D7A70B7529E93E52D5EC103.mp4
莫文蔚 - 这世界那么多人 - 伴奏版,https://cfss.cc/api/kg/CD799C46C5CD36BC4C47768F4203B0D0.mp4
莫文蔚 - 他不爱我,https://cfss.cc/api/kg/BE777A46E94E30555E07A2F30BB7A5DF.mp4
莫文蔚 - 盛夏的果实 - 现场版,https://cfss.cc/api/kg/55719FB04BDAD0061C19B8F106D28D55.mp4
莫文蔚 - 盛夏的果实,https://cfss.cc/api/kg/A687973E05D709F63312F358A4BC366E.mp4

🎦梅伊伊MV,#genre#
豆豆果 - 梅伊伊《一生只爱你一次》饭制版,https://cfss.cc/api/kg/E42A5B9695D6F2C4C914EB2DB8589E54.mp4
豆豆果 - 梅伊伊《一生只爱你一次》DJ默涵版,https://cfss.cc/api/kg/EF528799B94D9DAE3EA33EF1E652C3A3.mp4
风中劲草 - 梅伊伊《一生只爱你一次》无损音频,https://cfss.cc/api/kg/A2B0D9B58D819D89B0E07250467DAF50.mp4
